"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15559","Можно переключится на формат активности Офлайн","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityEditingFormatTests","CheckSwitchToOfflineActivityFormat"
"","34725","Можно пройти тест командной контрольной","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityPassingTests","CheckPassingTestInControlActivity"
"","31235","Успешное сохранение, если заполнена только дата окончания","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityDurationTests","CheckIfStartDateEmptyInAcivity"
"","60847","Можно редактировать команду в командной контрольной","Активность","2026-03-11","passed","2026-03-11","Страница контрольной","Контрольная","TestCommandActivityTests","CheckEditTeamInCommandControlActivity"
"","24387","Можно отметить Неверно в ответе на  вопрос с типом ответа Свободный ответ или Файл","Активность","2026-03-11","passed","2026-03-11","Результат прохождения теста","Контрольная","TestActivityResultTests","CheckMarkIncorrectTextOrFileAnswer"
"","46034","Преподаватель может оставить комментарий к ответу, если была отмечена галка Отображать студентам подробную информацию о результатах","Активность","2026-03-11","passed","2026-03-11","Результат прохождения теста","Контрольная","TestActivityResultTests","CheckTeacherCanLeaveCommentOnAnswer"
"","24654","Можно редактировать поставленную оценку в решении другого студента, если включена опция Взаимопроверка","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для студента","Задание","TaskWithSolutionStudentTests","CheckAbilityToEditAssessmentOfAnotherStudentsSolution"
"","13630","Работает кнопка Мое решение для студента","Активность","2026-03-11","passed","2026-03-11","Страница активности","Задание","TaskActivityInfoPageTests","CheckTransitionToMySolution"
"","32191","Студент не может просматривать подробную информацию о результатах, если соответствующий чекбокс выключен","Активность","2026-03-11","passed","2026-03-11","Результат прохождения теста","Контрольная","TestActivityResultTests","CheckStudentCanViewDetailedResultInfo"
"","25321","При отметке чекбокса Задать значения, у критерия не отображается поле Макс баллов","Активность","2026-03-11","passed","2026-03-11","Создание задания","Задание","TaskActivityMulticriteriaTests","CheckSetValuesCheckboxInCriteria"
"","32429","Можно изменить текст и файл решения","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для студента","Задание","TaskWithSolutionStudentTests","CheckEditSolution"
"","28266","Можно отметить Верно в ответе на  вопрос с типом ответа Свободный ответ или Файл","Активность","2026-03-11","passed","2026-03-11","Результат прохождения теста","Контрольная","TestActivityResultTests","CheckMarkCorrectTextOrFileAnswer"
"","33265","Отображение ошибки валидации для поля Баллы с отрицательным значением","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для преподавателя","Задание","TaskActivityTeacherTests","CheckGradeSolutionIncorrectValues"
"","94633","Можно скрыть материал","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityContentVisibilityTests","CheckHideMaterial"
"","19054","Успешное сохранение при корректных значениях в поле Объем в академических часах","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityDurationTests","CheckEditActivityVolumeWithCorrectValues"
"","19211","Автоматическое переключение на формат Самостоятельное изучение при выборе определенных типов активности","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityEditingFormatTests","CheckAutomaticallySwitchesToSelfStudyFormat"
"","12147","Можно переключать значения в поле Тип активности","","2026-03-11","passed","2026-03-11","Обычный шаблон активности","Активность","TemplateEditingTests","CheckEditTypeInActivityTemplate"
"","4010","Успешное сохранение при корректных значениях в поле Минимальный порог баллов","Активность","2026-03-11","passed","2026-03-11","Редактирование шаблона контрольной","Шаблон активности контрольной","TestTemplateEditingTests","CheckSuccessEditingMinThresholdWithCorrectValue"
"","26998","Можно удалить материал из шаблона активности","","2026-03-11","passed","2026-03-11","Обычный шаблон активности","Активность","TemplateAddingTests","CheckRemoveMaterialFromActivityTemplate"
"","19729","Появление поля Оценка, если количество попыток больше одной","Активность","2026-03-11","passed","2026-03-11","Создание контрольной","Контрольная","TestActivityCreatingTests","CheckScoreFieldAppearsIfNumOfAttemptsMoreThanOne"
"","4497","Нет возможности оценить решение другого студента, если не включена опция Взаимопроверка","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для студента","Задание","TaskWithSolutionStudentTests","CheckImpossibilityToEditAnotherStudentsSolutionGrade"
"","5120","Успешное сохранение при корректных значениях в поле Временной лимит","Активность","2026-03-11","passed","2026-03-11","Редактирование шаблона контрольной","Шаблон активности контрольной","TestTemplateEditingTests","CheckSuccessEditingTimeLimitWithCorrectValue"
